x1,x2,x3,x4,y
1,5,1,10,0.984672
1,5,2.5,10,0.818096
1,5,5,10,0.67448
1,5,10,10,0.520052
1,5,20,10,0.361524
1,5,30,10,0.27708
1,5,40,10,0.219724
1,5,50,10,0.177576
1,5,1,20,0.869256
1,5,2.5,20,0.659256
1,5,5,20,0.481864
1,5,10,20,0.304436
1,5,20,20,0.155524
1,5,30,20,0.0831
1,5,40,20,0.043988
1,5,50,20,0.020772
1,5,1,30,0.763096
1,5,2.5,30,0.522056
1,5,5,30,0.332092
1,5,10,30,0.165912
1,5,20,30,0.04162
1,5,30,30,0.001892
1,5,1,40,0.659808
1,5,2.5,40,0.400052
1,5,5,40,0.20914
1,5,10,40,0.065344
1,10,1,10,0.806052
1,10,2.5,10,0.613108
1,10,5,10,0.458224
1,10,10,10,0.305068
1,10,20,10,0.172108
1,10,30,10,0.114144
1,10,40,10,0.079288
1,10,50,10,0.058252
1,10,1,20,0.683268
1,10,2.5,20,0.449256
1,10,5,20,0.277796
1,10,10,20,0.133308
1,10,20,20,0.04502
1,10,30,20,0.022832
1,10,40,20,0.012572
1,10,50,20,0.005636
1,10,1,30,0.56912
1,10,2.5,30,0.319084
1,10,5,30,0.156384
1,10,10,30,0.050276
1,10,20,30,0.011376
1,10,1,40,0.457376
1,10,2.5,40,0.211912
1,10,5,40,0.075204
1,10,10,40,0.0151
1,15,1,10,0.68892
1,15,2.5,10,0.48348
1,15,5,10,0.33072
1,15,10,10,0.19414
1,15,20,10,0.095048
1,15,30,10,0.055064
1,15,40,10,0.038364
1,15,50,10,0.030144
1,15,1,20,0.562848
1,15,2.5,20,0.3288
1,15,5,20,0.175952
1,15,10,20,0.069324
1,15,20,20,0.024504
1,15,30,20,0.013936
1,15,40,20,0.004804
1,15,1,30,0.44628
1,15,2.5,30,0.211912
1,15,5,30,0.078356
1,15,10,30,0.024596
1,15,20,30,0.004972
1,15,1,40,0.340692
1,15,2.5,40,0.122604
1,15,5,40,0.033248
1,15,10,40,0.009016
1,20,1,10,0.600484
1,20,2.5,10,0.39254
1,20,5,10,0.249496
1,20,10,10,0.12902
1,20,20,10,0.056104
1,20,30,10,0.036104
1,20,40,10,0.027392
1,20,50,10,0.021484
1,20,1,20,0.474728
1,20,2.5,20,0.249172
1,20,5,20,0.116136
1,20,10,20,0.03966
1,20,20,20,0.017836
1,20,30,20,0.007112
1,20,1,30,0.361448
1,20,2.5,30,0.145916
1,20,5,30,0.048096
1,20,10,30,0.017516
1,20,1,40,0.260836
1,20,2.5,40,0.074664
1,20,5,40,0.022468
1,20,10,40,0.003896
2,5,1,10,1.65952
2,5,2.5,10,1.373028
2,5,5,10,1.117568
2,5,10,10,0.834048
2,5,20,10,0.54254
2,5,30,10,0.395
2,5,40,10,0.287916
2,5,50,10,0.224928
2,5,1,20,1.478936
2,5,2.5,20,1.111912
2,5,5,20,0.787628
2,5,10,20,0.461092
2,5,20,20,0.199128
2,5,30,20,0.093308
2,5,40,20,0.046048
2,5,50,20,0.021216
2,5,1,30,1.30482
2,5,2.5,30,0.878828
2,5,5,30,0.526116
2,5,10,30,0.224284
2,5,20,30,0.044424
2,5,30,30,0.00198
2,5,1,40,1.12788
2,5,2.5,40,0.65872
2,5,5,40,0.309364
2,5,10,40,0.076176
2,10,1,10,1.351764
2,10,2.5,10,1.005528
2,10,5,10,0.71262
2,10,10,10,0.436872
2,10,20,10,0.212664
2,10,30,10,0.1257
2,10,40,10,0.07988
2,10,50,10,0.057112
2,10,1,20,1.15178
2,10,2.5,20,0.729172
2,10,5,20,0.411176
2,10,10,20,0.160364
2,10,20,20,0.045424
2,10,30,20,0.0229
2,10,40,20,0.013172
2,10,50,20,0.00644
2,10,1,30,0.958676
2,10,2.5,30,0.496136
2,10,5,30,0.202916
2,10,10,30,0.04966
2,10,20,30,0.010496
2,10,1,40,0.763096
2,10,2.5,40,0.3073
2,10,5,40,0.086204
2,10,10,40,0.015088
2,15,1,10,1.141128
2,15,2.5,10,0.768168
2,15,5,10,0.484992
2,15,10,10,0.244776
2,15,20,10,0.097308
2,15,30,10,0.055488
2,15,40,10,0.039564
2,15,50,10,0.030132
2,15,1,20,0.93588
2,15,2.5,20,0.501556
2,15,5,20,0.228304
2,15,10,20,0.069528
2,15,20,20,0.024936
2,15,30,20,0.014108
2,15,40,20,0.007468
2,15,1,30,0.735324
2,15,2.5,30,0.299812
2,15,5,30,0.092724
2,15,10,30,0.02462
2,15,20,30,0.006964
2,15,1,40,0.53978
2,15,2.5,40,0.15062
2,15,5,40,0.033344
2,15,10,40,0.008532
2,20,1,10,0.980856
2,20,2.5,10,0.596656
2,20,5,10,0.337904
2,20,10,10,0.144728
2,20,20,10,0.056448
2,20,30,10,0.036068
2,20,40,10,0.02742
2,20,50,10,0.021824
2,20,1,20,0.774028
2,20,2.5,20,0.352416
2,20,5,20,0.133912
2,20,10,20,0.040028
2,20,20,20,0.017564
2,20,30,20,0.009608
2,20,40,20,0.0018
2,20,1,30,0.5749
2,20,2.5,30,0.18608
2,20,5,30,0.049264
2,20,10,30,0.0179
2,20,20,30,0.002272
2,20,1,40,0.396436
2,20,2.5,40,0.084344
2,20,5,40,0.02218
2,20,10,40,0.005996
3,5,1,10,2.315904
3,5,2.5,10,1.899408
3,5,5,10,1.525496
3,5,10,10,1.110948
3,5,20,10,0.691564
3,5,30,10,0.47314
3,5,40,10,0.345636
3,5,50,10,0.25608
3,5,1,20,2.070664
3,5,2.5,20,1.537472
3,5,5,20,1.071516
3,5,10,20,0.594748
3,5,20,20,0.23232
3,5,30,20,0.100008
3,5,40,20,0.046872
3,5,50,20,0.021476
3,5,1,30,1.827932
3,5,2.5,30,1.208588
3,5,5,30,0.694896
3,5,10,30,0.272252
3,5,20,30,0.045828
3,5,30,30,0.001912
3,5,1,40,1.576968
3,5,2.5,40,0.899036
3,5,5,40,0.394448
3,5,10,40,0.08434
3,10,1,10,1.868112
3,10,2.5,10,1.36024
3,10,5,10,0.940128
3,10,10,10,0.538252
3,10,20,10,0.238032
3,10,30,10,0.132724
3,10,40,10,0.08098
3,10,50,10,0.057216
3,10,1,20,1.595208
3,10,2.5,20,0.979192
3,10,5,20,0.520564
3,10,10,20,0.181108
3,10,20,20,0.045596
3,10,30,20,0.022832
3,10,40,20,0.010296
3,10,50,20,0.003312
3,10,1,30,1.32382
3,10,2.5,30,0.654224
3,10,5,30,0.241516
3,10,10,30,0.050492
3,10,20,30,0.011328
3,10,1,40,1.046752
3,10,2.5,40,0.383572
3,10,5,40,0.092404
3,10,10,40,0.015084
3,15,1,10,1.559072
3,15,2.5,10,1.013804
3,15,5,10,0.60592
3,15,10,10,0.281852
3,15,20,10,0.099384
3,15,30,10,0.05564
3,15,40,10,0.039296
3,15,50,10,0.0301
3,15,1,20,1.27936
3,15,2.5,20,0.645964
3,15,5,20,0.267912
3,15,10,20,0.070996
3,15,20,20,0.024492
3,15,30,20,0.013888
3,15,40,20,0.004724
3,15,1,30,0.998788
3,15,2.5,30,0.368048
3,15,5,30,0.097544
3,15,10,30,0.025168
3,15,20,30,0.004276
3,15,1,40,0.726116
3,15,2.5,40,0.175352
3,15,5,40,0.033444
3,15,10,40,0.009032
3,20,1,10,1.323984
3,20,2.5,10,0.767068
3,20,5,10,0.401704
3,20,10,10,0.162004
3,20,20,10,0.0565
3,20,30,10,0.036168
3,20,40,10,0.027376
3,20,50,10,0.021724
3,20,1,20,1.043016
3,20,2.5,20,0.439124
3,20,5,20,0.147352
3,20,10,20,0.039816
3,20,20,20,0.017812
3,20,30,20,0.00542
3,20,1,30,0.77
3,20,2.5,30,0.217236
3,20,5,30,0.047684
3,20,10,30,0.017964
3,20,1,40,0.515152
3,20,2.5,40,0.087592
3,20,5,40,0.022696
3,20,10,40,0.003508
4,5,1,10,2.963276
4,5,2.5,10,2.414996
4,5,5,10,1.921964
4,5,10,10,1.37956
4,5,20,10,0.834488
4,5,30,10,0.553912
4,5,40,10,0.394468
4,5,50,10,0.284668
4,5,1,20,2.65662
4,5,2.5,20,1.957156
4,5,5,20,1.344992
4,5,10,20,0.728368
4,5,20,20,0.265228
4,5,30,20,0.105628
4,5,40,20,0.047432
4,5,50,20,0.021472
4,5,1,30,2.348312
4,5,2.5,30,1.53706
4,5,5,30,0.870416
4,5,10,30,0.321784
4,5,20,30,0.047504
4,5,30,30,0.00202
4,5,1,40,2.02452
4,5,2.5,40,1.137364
4,5,5,40,0.48588
4,5,10,40,0.092456
4,10,1,10,2.373688
4,10,2.5,10,1.703976
4,10,5,10,1.155932
4,10,10,10,0.640116
4,10,20,10,0.256392
4,10,30,10,0.137748
4,10,40,10,0.081364
4,10,50,10,0.057316
4,10,1,20,2.03296
4,10,2.5,20,1.225708
4,10,5,20,0.624044
4,10,10,20,0.19872
4,10,20,20,0.045756
4,10,30,20,0.022868
4,10,40,20,0.01314
4,10,50,20,0.006476
4,10,1,30,1.68738
4,10,2.5,30,0.810904
4,10,5,30,0.281592
4,10,10,30,0.051128
4,10,20,30,0.011396
4,10,1,40,1.328096
4,10,2.5,40,0.46992
4,10,5,40,0.098372
4,10,10,40,0.015064
4,15,1,10,1.966384
4,15,2.5,10,1.249252
4,15,5,10,0.71634
4,15,10,10,0.315364
4,15,20,10,0.101864
4,15,30,10,0.055484
4,15,40,10,0.039532
4,15,50,10,0.030132
4,15,1,20,1.61668
4,15,2.5,20,0.791028
4,15,5,20,0.307464
4,15,10,20,0.071968
4,15,20,20,0.025032
4,15,30,20,0.014136
4,15,40,20,0.002716
4,15,1,30,1.262032
4,15,2.5,30,0.44488
4,15,5,30,0.102432
4,15,10,30,0.02508
4,15,20,30,0.00648
4,15,1,40,0.904052
4,15,2.5,40,0.20022
4,15,5,40,0.03352
4,15,10,40,0.008524
4,20,1,10,1.653836
4,20,2.5,10,0.926596
4,20,5,10,0.464076
4,20,10,10,0.170424
4,20,20,10,0.056544
4,20,30,10,0.036076
4,20,40,10,0.027444
4,20,50,10,0.021584
4,20,1,20,1.306064
4,20,2.5,20,0.521192
4,20,5,20,0.159272
4,20,10,20,0.039892
4,20,20,20,0.017568
4,20,30,20,0.002436
4,20,1,30,0.957636
4,20,2.5,30,0.249596
4,20,5,30,0.050312
4,20,10,30,0.017748
4,20,20,30,0.000704
4,20,1,40,0.636696
4,20,2.5,40,0.09222
4,20,5,40,0.022176
4,20,10,40,0.005924
5,5,1,10,3.608172
5,5,2.5,10,2.92896
5,5,5,10,2.316944
5,5,10,10,1.647716
5,5,20,10,0.978012
5,5,30,10,0.636856
5,5,40,10,0.442544
5,5,50,10,0.31208
5,5,1,20,3.24466
5,5,2.5,20,2.380348
5,5,5,20,1.625312
5,5,10,20,0.870452
5,5,20,20,0.2985
5,5,30,20,0.113116
5,5,40,20,0.048252
5,5,50,20,0.021476
5,5,1,30,2.873724
5,5,2.5,30,1.873432
5,5,5,30,1.05468
5,5,10,30,0.35238
5,5,20,30,0.049172
5,5,30,30,0.001908
5,5,1,40,2.479548
5,5,2.5,40,1.385688
5,5,5,40,0.582064
5,5,10,40,0.10218
5,10,1,10,2.877612
5,10,2.5,10,2.046536
5,10,5,10,1.368412
5,10,10,10,0.735404
5,10,20,10,0.280336
5,10,30,10,0.142472
5,10,40,10,0.082316
5,10,50,10,0.057564
5,10,1,20,2.47402
5,10,2.5,20,1.479976
5,10,5,20,0.736996
5,10,10,20,0.219308
5,10,20,20,0.0459
5,10,30,20,0.022828
5,10,40,20,0.013112
5,10,50,20,0.003636
5,10,1,30,2.057224
5,10,2.5,30,0.976452
5,10,5,30,0.32596
5,10,10,30,0.054304
5,10,20,30,0.011324
5,10,1,40,1.621672
5,10,2.5,40,0.555084
5,10,5,40,0.10624
5,10,10,40,0.015144
5,15,1,10,2.371024
5,15,2.5,10,1.486984
5,15,5,10,0.834552
5,15,10,10,0.34856
5,15,20,10,0.108452
5,15,30,10,0.055872
5,15,40,10,0.039612
5,15,50,10,0.030092
5,15,1,20,1.959656
5,15,2.5,20,0.943348
5,15,5,20,0.348648
5,15,10,20,0.074288
5,15,20,20,0.024496
5,15,30,20,0.013864
5,15,40,20,0.00438
5,15,1,30,1.5331
5,15,2.5,30,0.520024
5,15,5,30,0.10874
5,15,10,30,0.024616
5,15,20,30,0.004884
5,15,1,40,1.10026
5,15,2.5,40,0.229172
5,15,5,40,0.033504
5,15,10,40,0.009268
5,20,1,10,1.986852
5,20,2.5,10,1.092988
5,20,5,10,0.525692
5,20,10,10,0.179228
5,20,20,10,0.05658
5,20,30,10,0.035972
5,20,40,10,0.027364
5,20,50,10,0.021672
5,20,1,20,1.578604
5,20,2.5,20,0.611012
5,20,5,20,0.172408
5,20,10,20,0.03988
5,20,20,20,0.017808
5,20,30,20,0.00658
5,20,1,30,1.161432
5,20,2.5,30,0.286536
5,20,5,30,0.04832
5,20,10,30,0.017848
5,20,1,40,0.767704
5,20,2.5,40,0.09906
5,20,5,40,0.022704
5,20,10,40,0.004